광고주,Longevity밴드,검토상태,게재상태,게재일수,광고ID,광고링크,광고주tier,라이브러리시작일,미디어링크,미디어타입,변형수,운영모드,위너점수,최종관측일,최초관측일,카피발췌,타깃
Cafe24,30–60일,신규,활성,32,1241835164484098,https://www.facebook.com/ads/library/?id=1241835164484098,top,2026-05-17,https://scontent.fesb4-1.fna.fbcdn.net/v/t39.35426-6/687034018_976542078157103_8064364058067072277_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=eGOEq84At90Q7kNvwF98QvO&_nc_oc=AdoZXb6suE21JcqRQwqAaY4UVibs4Bo2P-QUcg_Krp1b0ulIvegTYP12B84tesnQaNI&_nc_zt=14&_nc_ht=scontent.fesb4-1.fna&_nc_gid=jxGNlZRvURy7uIPOhjppiw&_nc_ss=7f289&oh=00_Af8QsTpvFYAZr73lsgdp4oMpb82hd0dAKBSLugczALfB4g&oe=6A3916FF,image,3,DCO,2.9,2026-06-18,2026-06-18,"사장님, 쇼핑몰 창업 0원으로 시작해 보세요 🎈
비용 걱정 없이 사장님만의 브랜드를 만들 수 있어요.

운영은 더 쉽게, 마음은 더 자유롭게!
복잡하고 어려운 건 저희가 다 챙길게요

지금 바로 나만의 쇼핑몰을 열어볼까요? 🚀",
Cafe24,30–60일,신규,활성,30,988912706835604,https://www.facebook.com/ads/library/?id=988912706835604,top,2026-05-19,https://scontent.fesb4-5.fna.fbcdn.net/v/t39.35426-6/667993522_967608352319474_1669790522270412126_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ekIa2bAZIVoQ7kNvwEKbz_8&_nc_oc=Adof8M4DyHsNtXTwW5DL6h3F2pj6VxbfSFEc25uBkWoR03W1WSklqH7QrmRtTyQ-OOI&_nc_zt=14&_nc_ht=scontent.fesb4-5.fna&_nc_gid=jxGNlZRvURy7uIPOhjppiw&_nc_ss=7f289&oh=00_Af-x_okzybki0oX_YMWtIV8h-g4t_bqaX7cfDtQiSQzmXw&oe=6A39257C,image,3,DCO,2.9,2026-06-18,2026-06-18,"쌓인 재고는 곧 손실 📦
박스만 늘어나는 마케팅은 이제 그만!!

광고만 돌리는 대행사는 창고 사정을 몰라요..
카페24는 재고 회전율까지 읽고 전략을 짭니다!

안 팔리는 물건은 비우고, 수익은 채우는 밀착 케어💌
카페24 마케팅으로 교정하세요!

#카페24마케팅 #마케팅 #쇼핑몰광고 #쇼핑몰광고대행사 #광고대행사 #재고관리",
Cafe24,30–60일,신규,활성,32,1306019417640294,https://www.facebook.com/ads/library/?id=1306019417640294,top,2026-05-17,https://scontent.fesb4-1.fna.fbcdn.net/v/t39.35426-6/702044084_849540150926603_1185713344189844445_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=AKnUf67gS5AQ7kNvwGVLouY&_nc_oc=AdohOcxmprm0m8YZ-9RgZ0NOz_KyjvxAoZ2SuykC_rJGyN-U4KJ-_5eu8Aq63jl2AIM&_nc_zt=14&_nc_ht=scontent.fesb4-1.fna&_nc_gid=jxGNlZRvURy7uIPOhjppiw&_nc_ss=7f289&oh=00_Af8fsQLE9DVNKhFN6mecCx_9uHyC0ag6qPO20cR47chqYA&oe=6A393955,image,3,DCO,2.9,2026-06-18,2026-06-18,"광고 효율은 좋은데 창고가 비워지지 않나요?
겉으로 보이는 수치보다 진짜 중요한 건 상품의 순환이니까요.

카페24는 국내에서 유일하게 재고 데이터까지 읽으며 마케팅해요!
진짜 남는 장사를 위해 지금 무료로 진단해 보세요.

#재고관리 #카페24재고 #카페24마케팅센터 #광고대행",
Cafe24,30–60일,신규,활성,32,1685062472732484,https://www.facebook.com/ads/library/?id=1685062472732484,top,2026-05-17,https://scontent.fesb4-2.fna.fbcdn.net/v/t39.35426-6/687028356_1787030625606631_7684850294991603206_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=5koJ1A1DVmkQ7kNvwFH061P&_nc_oc=Adr1OUV5aqpPO18PIBsMvjTccO2yMCRESLcp0RIdjFLOPt3AGcPaco23lL6BO2zTsGQ&_nc_zt=14&_nc_ht=scontent.fesb4-2.fna&_nc_gid=jxGNlZRvURy7uIPOhjppiw&_nc_ss=7f289&oh=00_Af_8LIvMhb-95iGrGWCJ2F7Cw_5pfz2if83m_U4f3lJWng&oe=6A392C72,image,3,DCO,2.9,2026-06-18,2026-06-18,"사장님, 아직도 광고비 먼저 내고 계세요? 🤫 
진짜 '돈 버는 사장님'들만 몰래 쓰는 치트키 하나 알려드릴게요. 

메타, 구글, 네이버, 카카오 광고를 0원으로 시작하는 법! 
매출은 5배, 10배 먼저 키우고 광고비는 나중에 내세요.

자금 걱정 때문에 멈춰있던 성장의 기회, 이 '비밀'을 아는 순간 사장님의 매출 그래프가 바뀝니다.

#카페24후불광",
Cafe24,30–60일,신규,활성,31,2582577015531815,https://www.facebook.com/ads/library/?id=2582577015531815,top,2026-05-18,https://scontent.fesb4-2.fna.fbcdn.net/v/t39.35426-6/694281574_2953920091607884_2771465831981742568_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ycpCOWD3QdYQ7kNvwGPuhrH&_nc_oc=Adpw0xfrNIeWxtW5fFkPRTGK2JhxR9npg6-l6FM7OrjVe5JZV_BJg5e4gqcqMSJt_mQ&_nc_zt=14&_nc_ht=scontent.fesb4-2.fna&_nc_gid=jxGNlZRvURy7uIPOhjppiw&_nc_ss=7f289&oh=00_Af_DaxovIiYlkSpti5DwcZXrNqWv9u7RqcmGjl09bLh5vg&oe=6A39445A,image,3,DCO,2.9,2026-06-18,2026-06-18,"메타 광고, 초기 비용 없이 먼저 시작할 수 있어요

먼저 홍보해서 매출부터 확실히 키우고, 
결제는 나중에 천천히 하세요.

부담 없는 시작, 카페24 후불 광고와 함께
지금 바로 해보세요!

#카페24후불광고 #후불광고 #카페24마케팅센터 #광고대행",
Cafe24,30–60일,신규,활성,30,3848605078609136,https://www.facebook.com/ads/library/?id=3848605078609136,top,2026-05-19,https://scontent.fsgn18-1.fna.fbcdn.net/v/t39.35426-6/689598515_2177682616355918_144333096875438550_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=OHOICdWFVrwQ7kNvwE9Df7M&_nc_oc=AdptYdpHhBJYwHpHFY051ejgRNbp6RhraLCFbfmBnteZhLQxp5P0ufugT-HLJ9Wt4Fk&_nc_zt=14&_nc_ht=scontent.fsgn18-1.fna&_nc_gid=UcSM9iSJIWwUTF9scdJ0_Q&_nc_ss=7f180&oh=00_Af-Z50hup3qbvjz-jGtE8F94Tkoa1o6Oj5I-eXpscBPhyA&oe=6A393BAD,image,3,DCO,2.9,2026-06-18,2026-06-18,"나보다 늦게 시작해도 더 잘 나가는 이유 📈
단순한 노력이 아니라 시스템의 차이예요!

광고비 부담은 미루고 매출부터 먼저 키우는 치트키.
카페24 후불광고가 순위 역전을 현실로 만들어요

지금 신청하면 전문가의 광고 세팅까지 전액 무료 지원💥

#카페24후불광고 #광고대행 #후불광고 #광고대행사 #쇼핑몰광고대행 #쇼핑몰광고",
Cafe24,30–60일,신규,활성,32,1015410324294866,https://www.facebook.com/ads/library/?id=1015410324294866,top,2026-05-17,https://scontent.fsgn18-1.fna.fbcdn.net/v/t39.35426-6/690625222_970091939050624_768373363539156595_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=1nM2M6yxW2MQ7kNvwFBX-2A&_nc_oc=Adqm0PyoiwDdqFpGDObhD1F3OIBtnQmEIoQofXtjL3QOLHaH4LZ6qeLhX2n2FgWfPDM&_nc_zt=14&_nc_ht=scontent.fsgn18-1.fna&_nc_gid=UcSM9iSJIWwUTF9scdJ0_Q&_nc_ss=7f180&oh=00_Af-ovi2Hh4dXR8p_CKEhKC755KIJNLt11CfWkFPXDHqQhg&oe=6A3934C7,image,3,DCO,2.9,2026-06-18,2026-06-18,"광고비 0원으로 시작하는 비즈니스
네이버부터 메타까지, 주요 매체 올인원 지원!

초기 비용 부담은 지우고 매출부터 먼저 키우세요
복잡한 광고 세팅은 카페24 전문가가 전액 무료로 책임집니다

#카페24후불광고 #후불광고 #광고대행 #쇼핑몰광고",
Cafe24,30–60일,신규,활성,32,2142126563240608,https://www.facebook.com/ads/library/?id=2142126563240608,top,2026-05-17,https://scontent.fsgn18-1.fna.fbcdn.net/v/t39.35426-6/658869023_1447136857156185_4271939770403134341_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ioHy3T1rW7YQ7kNvwFS7We1&_nc_oc=AdqVsHIc5AyMHc_q0Kk37JEwBosvBecszsNQdZ9AXq_15aleNe8l_lO8mQRl9toCBLc&_nc_zt=14&_nc_ht=scontent.fsgn18-1.fna&_nc_gid=UcSM9iSJIWwUTF9scdJ0_Q&_nc_ss=7f180&oh=00_Af_qWIhjDCjAMn9BX6SQM9k8CtsYQv9kzmuCdKFtMhCrKg&oe=6A391983,image,3,DCO,2.9,2026-06-18,2026-06-18,"창고에 쌓인 박스들, 볼 때마다 마음이 무거우시죠? 📦 
진짜 마케팅은 단순히 광고만 돌리는 게 아니에요, 사장님의 재고 현황까지 들여다보고 전략을 짜야죠!

안 팔리는 물건은 프로모션으로 털어내고, 잘 팔릴 물건은 미리 확보하고! 
이제 혼자 끙끙 앓지 말고 카페24 전문가에게 사장님의 창고와 마케팅을 통째로 맡겨보세요

#카페24마케팅 #카페24마케팅센",
Cafe24,30–60일,신규,활성,31,24763139736716838,https://www.facebook.com/ads/library/?id=24763139736716838,top,2026-05-18,https://scontent.fsgn18-1.fna.fbcdn.net/v/t39.35426-6/649305115_904232045581891_6416584652256808787_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=6IpsZ7nnGFQQ7kNvwGbWSxD&_nc_oc=AdoeuBamNoVhp9XldnDFN5rEcXOZpwE1cV5a39lgX6POMbDxlsT4SGG0a2Y4Ix4HF4M&_nc_zt=14&_nc_ht=scontent.fsgn18-1.fna&_nc_gid=UcSM9iSJIWwUTF9scdJ0_Q&_nc_ss=7f180&oh=00_Af-yNfY0XQ-tZ80-loS6LXPQ5QWnWWohc61Lx--NicaDyg&oe=6A394395,image,3,DCO,2.9,2026-06-18,2026-06-18,"성수기가 코앞인데 설마 '어떻게든 되겠지' 하고 계신 건 아니죠? 🔔
D-14, 골든타임은 지금부터입니다. 

남들 다 노리는 대목, 광고비 걱정 때문에 망설이다 놓치면 1년을 후회해요 😥
매출부터 5배 키우고 광고비는 나중에 내는 카페24 후불광고로 이번 성수기의 주인공이 되세요!

#카페24 #후불광고 #광고대행",
Cafe24,30–60일,신규,활성,31,1559137509125984,https://www.facebook.com/ads/library/?id=1559137509125984,top,2026-05-18,https://scontent.fsgn18-1.fna.fbcdn.net/v/t39.35426-6/661407324_1509192020734336_3020684247441866776_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=bak-RRzzTX4Q7kNvwHfSD6A&_nc_oc=AdrjQheghTgfz17WXgt47othvAYlnghVHhBaEur-lYt7lLlXmYpbUWKqLiAt_0ROdpU&_nc_zt=14&_nc_ht=scontent.fsgn18-1.fna&_nc_gid=UcSM9iSJIWwUTF9scdJ0_Q&_nc_ss=7f180&oh=00_Af9QhtbmDVh11IBEY15beNMCkTJiItVmm2l1BdOmsedqhA&oe=6A3917BA,image,3,DCO,2.9,2026-06-18,2026-06-18,"광고는 신나게 돌렸는데 정작 주문 들어오니 품절이거나
애써 들여온 신상이 창고에서 잠자고 있나요? 📉 

마케팅은 광고비 태우는 게 아니라 '재고의 흐름'을 읽는 것입니다. 
잘 나가는 상품은 끊기지 않게 발주 알림, 정체된 재고는 시원하게 세일 전략을! 

사장님의 창고 컨디션까지 챙기는 카페24 마케팅으로 비즈니스의 체급을 키우세요

#카페24마케팅센터",
